0,0,5,2,0,0,0,0,0,0,0,0,4,4,2,10
1.639,0.418,1,0,-0.67,1.779,-0.168,1.627,-0.388,0.529,-0.874,-0.814,3,0,1,0
2.327,0.496,1,0,-0.694,1.365,-0.265,1.933,-0.363,0.51,-0.621,-0.488,2,3,0,1
3.12,0.894,1,0,-1.576,0.147,-0.707,1.559,-0.579,0.676,-0.809,-0.049,2,3,0,2
-2.287,1.809,1,0,-1.498,1.012,-1.053,1.06,-0.567,0.235,-0.091,-0.795,3,2,0,3
-2.598,1.938,1,0,-0.846,1.062,-1.633,0.764,0.394,-0.15,0.277,-0.396,1,1,0,4
-2.852,1.914,1,0,-0.755,0.825,-1.588,0.855,0.217,-0.246,0.238,-0.365,1,1,0,5
-3.482,2.524,1,0,-0.433,1.048,-1.995,0.902,0.322,0.45,0.377,-0.366,3,3,0,6
-3.941,2.305,1,1,0.124,1.771,-1.815,0.593,-0.435,0.992,0.575,-0.301,1,3,0,7
-3.86,2.116,2,0,-0.939,0.688,-0.675,1.679,-0.512,0.928,-0.167,-0.434,2,3,0,8
-3.648,1.812,1,1,-1.378,1.578,0.065,1.577,-0.466,0.702,0.06,-0.836,3,3,1,9
-3.032,1.739,1,0,-1.141,0.737,-0.834,1.386,-0.575,0.679,-0.018,-0.823,2,3,0,10
-3.653,0.373,1,1,-0.6,1.705,-0.222,1.765,-0.353,0.537,-0.797,-0.813,2,1,0,9
-3.237,0.436,2,0,-0.86,1.363,-0.251,1.915,-0.395,0.751,-0.774,-0.327,2,2,1,1
-2.135,0.954,2,1,-1.632,0.121,-0.704,1.6,-0.628,0.713,-0.903,-0.027,1,1,0,2
-2.304,1.784,2,1,-1.506,0.981,-0.961,0.806,-0.294,-0.002,0.119,-0.76,1,2,1,3
